rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
3,中國,摩根中國雙息平衡基金-月配型(台幣),ACJF132-8434,,MCHI,,0.24,-2.71,-2.12,-2.93,7.22,1.66,0.47,6.75,0.170,-8.20,,0.103,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,美國,普徠仕美國大型價值股票基金Q級別(美元),MAR37,,SPY,否,-0.36,1.78,6.97,15.10,28.03,-1.85,18.91,9.12,0.640,-6.73,13.0,0.617,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,美國,美盛銳思美國小型公司機會基金優類股美元累積型,BAT20,,SPY,否,0.26,0.57,-1.69,10.88,30.48,-19.18,24.93,5.55,0.380,-11.95,13.0,0.485,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,美國,施羅德環球基金系列-美國中小型股票(歐元)A-累積,PYZA02,,SPY,否,-0.25,0.23,2.32,9.79,26.92,-2.65,24.93,1.99,0.480,-7.65,28.0,0.445,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,印度,台新印度基金,ACTT13,,INDA,否,1.04,4.37,2.71,19.28,26.13,-26.74,16.70,9.43,0.290,-13.19,13.0,0.540,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,印度,瀚亞印度基金S配息(台幣)(本基金配息來源可能為本金),ACCP221,,INDA,是,0.62,0.45,12.62,8.98,8.98,44.93,8.51,0.47,0.260,-8.82,26.0,0.192,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,印度,群益大印度基金N類型(台幣),ACCA162,,INDA,否,0.34,1.66,3.07,3.37,8.74,5.16,5.80,2.94,0.130,-16.81,51.0,0.092,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,東協,統一大東協高股息基金(台幣)(本基金並無保證收益及配息),ACPS53,,ASEA,是,0.69,6.11,-6.20,13.06,55.97,-49.00,23.67,32.30,0.470,-19.51,,1.010,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,東協,復華東協世紀基金,ACFH32,,ASEA,否,1.28,0.38,-0.14,10.44,30.54,-16.36,15.19,15.35,0.520,-9.83,,0.618,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,東協,野村泰國基金,ACKH12,,ASEA,否,-0.09,-2.02,3.08,0.00,34.90,15.88,15.22,19.68,0.440,-9.53,64.0,0.586,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,歐洲,富邦富時歐洲ETF基金,ACFP93,,VGK,否,0.07,-0.82,5.05,3.61,24.06,20.77,10.64,13.42,0.510,-9.54,55.0,0.465,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,歐洲,摩根大歐洲基金-數位型,ACJF153,,VGK,否,0.59,-0.06,4.20,2.53,21.49,15.01,9.27,12.22,0.470,-9.40,55.0,0.409,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,歐洲,元大歐洲50基金,ACYT89,,VGK,否,0.11,0.72,6.01,4.99,21.16,11.61,10.55,10.61,0.400,-11.01,43.0,0.393,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,巴西,元大巴西指數基金,ACKY35,,EWZ,否,1.56,-3.86,1.10,-6.76,29.33,10.90,6.12,23.21,0.340,-19.44,,0.429,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,巴西,野村巴西基金,ACIC29,,EWZ,否,1.75,-5.40,-1.44,-10.34,27.36,3.77,4.07,23.29,0.290,-21.10,,0.356,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,巴西,瀚亞巴西基金,ACCP32,,EWZ,否,1.76,-4.01,-1.56,-9.75,22.18,5.40,2.55,19.63,0.270,-20.78,,0.271,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,債券型,施羅德環球基金系列-亞洲可轉換債券(美元)A-累積,PYZA03,,BND,否,0.33,3.63,1.21,7.33,28.60,-4.69,1.51,27.09,0.350,-10.81,14.0,0.646,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,債券型,合庫新興多重收益基金-A不配息(南非幣),ACCB12,,BND,否,0.01,1.97,0.83,0.99,29.09,7.40,9.68,19.41,0.510,-8.66,41.0,0.554,買進,沿用上次資料（2026-08-24）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
3,債券型,富蘭克林華美目標2027組合基金-R類型(台幣),ACFT123,,BND,否,0.14,1.39,-1.02,10.36,22.28,-17.59,10.48,11.80,0.480,-6.20,,0.509,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,黃金,貝萊德世界黃金基金A2美元,SHZ18,,GLD,否,-0.59,30.96,11.80,-12.99,64.77,126.19,57.39,7.38,0.340,-36.68,,0.476,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,黃金,元大黃金期貨基金,ACKY38,,GLD,否,-0.10,8.03,-5.86,-15.28,35.26,18.98,6.54,28.72,0.320,-24.34,,0.429,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,黃金,元大標普高盛黃金ER指數期貨基金,ACYT63,,GLD,否,-0.06,8.81,-3.90,-16.37,21.22,30.16,1.20,20.02,0.240,-26.76,,0.163,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,礦業,晉達環球策略基金-環球天然資源基金A累積股份,GSFF7,,PICK,否,-0.37,11.72,6.28,0.41,47.98,19.44,38.84,9.14,0.480,-15.77,37.0,0.592,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,礦業,富蘭克林華美天然資源組合基金,ACFT10,,PICK,否,0.98,9.17,-6.41,-7.54,37.92,4.80,8.89,29.03,0.380,-18.77,,0.576,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,礦業,復華全球原物料基金,ACFH26,,PICK,否,1.38,6.39,-26.73,-13.64,31.53,-35.18,2.06,29.47,0.230,-39.59,,0.322,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,半導體,第一金電子基金,ACNC16,,SOXX,否,2.39,18.06,-5.70,48.06,144.28,-138.58,60.49,83.79,0.640,-28.32,,2.748,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
2,半導體,台新美日台半導體基金-A不配息(台幣),ACTT209,,SOXX,否,1.61,3.10,-13.04,19.96,74.00,-68.03,27.02,46.98,0.430,-31.66,,1.337,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,半導體,貝萊德世界科技基金 A2 美元,SHZ71-2456,,SOXX,否,1.46,5.31,-6.66,29.52,38.25,-65.33,32.21,6.04,0.280,-20.71,,0.691,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ SHZ71-2456／歷史淨值重算,2026-08-25
1,記憶體,國泰臺韓科技基金（記憶體供應鏈）,ACTR37,,SOXX,是（半年配）,1.61,9.27,-6.81,44.28,196.59,-92.71,75.94,120.65,0.670,-31.35,,3.592,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
2,記憶體,街口中小型基金（記憶體供應鏈）,ACCH03,,SOXX,否,2.96,27.71,-2.47,51.57,189.72,-130.14,74.66,115.06,0.680,-35.29,,3.523,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,記憶體,街口台灣基金（記憶體供應鏈）,ACCH01,,SOXX,否,2.74,26.83,-4.74,47.59,181.60,-125.11,70.00,111.60,0.660,-37.12,,3.354,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
1,量子電腦,安聯台灣科技基金,ACDD04-8602,,QTUM,否,1.75,21.30,-2.83,60.17,205.24,-152.56,81.43,123.81,0.790,-32.10,,3.890,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,量子電腦,國泰臺韓科技基金,ACTR37,,QTUM,是（半年配）,1.61,9.27,-6.81,44.28,196.59,-92.71,75.94,120.65,0.670,-31.35,,3.592,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,量子電腦,統一奔騰基金,ACPS10,,QTUM,否,2.53,20.37,-1.56,58.49,146.26,-153.31,63.96,82.30,0.620,-27.84,,2.855,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
4,量子電腦,富邦台灣科技指數基金(本基金之配息來源可能為收益平準金),AC0052,,QTUM,是,1.50,6.90,2.37,34.92,121.36,-53.71,50.93,70.43,0.750,-17.13,,2.331,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
5,量子電腦,元大台灣電子科技基金,AC0053,,QTUM,否,1.73,9.41,1.16,37.35,121.08,-68.86,51.91,69.17,0.730,-18.95,,2.327,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
6,量子電腦,摩根台灣增長基金,ACJF51,,QTUM,否,0.83,13.51,6.01,50.58,107.71,-81.42,56.91,50.80,0.640,-17.90,,2.129,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
7,量子電腦,Defiance Quantum ETF,,QTUM,QTUM,否,1.26,5.67,-6.04,28.22,59.73,-86.47,59.73,0.00,1.579,-25.39,29.0,1.068,觀察,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
8,量子電腦,聯博-國際科技基金I級別美元,ALZM9,,QTUM,否,1.17,3.89,-8.40,24.74,50.69,-60.63,32.21,18.48,0.370,-20.93,,0.908,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
9,量子電腦,WisdomTree Quantum Computing UCITS ETF,,WQTM.L,QTUM,否,2.11,6.97,-16.05,26.10,51.88,-109.35,59.58,-7.70,1.238,-27.39,,0.813,觀察,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
10,量子電腦,景順全球科技基金-累積型(台幣),ACCS131,,QTUM,否,-1.32,1.53,-4.11,18.35,37.61,-47.62,15.62,21.99,0.390,-12.89,,0.793,買進,沿用上次資料（2026-08-24）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
11,量子電腦,貝萊德世界科技基金 A2 美元,SHZ71-2456,,QTUM,否,1.46,5.31,-6.66,29.52,38.25,-65.33,32.21,6.04,0.280,-20.71,,0.691,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ SHZ71-2456／歷史淨值重算,2026-08-25
12,量子電腦,富蘭克林坦伯頓科技基金美元A(acc),FLZ80,,QTUM,否,1.32,4.81,-3.80,26.66,29.94,-44.96,32.21,-2.27,0.280,-17.73,,0.511,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
13,量子電腦,iShares Quantum Computing UCITS ETF,,QANT.L,QTUM,否,0.61,3.81,-16.34,27.87,9.73,-114.50,28.59,-18.85,0.562,-22.95,,0.185,觀察,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
14,量子電腦,Defiance Pure Quantum Computing ETF,,QTUP,QTUM,否,2.77,9.54,-5.98,-5.98,-5.98,-10.26,-3.69,-2.29,0.018,-40.33,,-0.341,賣出,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
15,量子電腦,VanEck Quantum ETF,,QNTM.AX,QTUM,否,-0.66,-5.00,-5.00,-5.00,-5.00,-8.80,-0.80,-4.20,,-7.62,,,待資料,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
1,機器人,台新SG全球AI機器人精選ETF基金,ACTT63,,BOTZ,否,0.65,2.71,-2.94,23.74,40.62,-38.86,18.50,22.12,0.390,-15.41,,0.866,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,機器人,國泰納斯達克全球人工智慧及機器人基金,ACTR36,,BOTZ,否,0.52,6.78,3.97,17.92,22.09,-8.42,15.06,7.03,0.270,-18.40,36.0,0.432,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,機器人,第一金全球AI機器人及自動化產業基金N類型(美元),ACNC89,,BOTZ,否,0.79,0.58,-9.69,0.31,20.64,-29.48,7.12,13.52,0.210,-16.40,,0.305,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,金融,貝萊德世界金融基金A2歐元,SHZA9,,XLF,否,-0.36,-0.81,10.24,13.86,17.97,29.38,14.81,3.16,0.300,-15.30,50.0,0.333,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,金融,歐義銳榮環球智慧股票基金R,SAN21,,XLF,否,-0.18,1.48,2.85,9.27,16.20,-8.61,14.89,1.31,0.370,-6.30,13.0,0.310,買進,沿用上次資料（2026-08-24）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
3,金融,富達基金-全球金融服務基金(Y股累計歐元),FTZD9,,XLF,否,0.30,1.16,12.55,15.66,13.58,20.08,14.81,-1.23,0.300,-11.99,56.0,0.280,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,醫療,富蘭克林坦伯頓全球投資系列生技領航基金美元A(acc),FLZ81,,XLV,否,1.27,4.20,12.95,17.53,66.14,57.43,52.32,13.82,0.790,-9.17,14.0,1.087,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,醫療,百達-生物科技-I美元,PIC90,,XLV,否,2.68,3.72,13.58,18.24,62.42,62.65,52.32,10.10,0.720,-10.15,12.0,1.001,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,醫療,富蘭克林華美全球醫療保健基金(台幣),ACFT73-9209,,XLV,,0.97,1.53,8.02,12.40,32.93,30.81,12.44,20.49,0.510,-9.85,58.0,0.711,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,能源,統一新亞洲科技能源基金,ACPS26-5816,,XLE,否,1.71,5.43,-14.65,38.85,126.12,-130.34,52.75,73.37,0.470,-36.61,,2.294,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,能源,中國信託臺灣綠能及電動車ETF基金(本基金非屬環境、社會及治理相關主題基金),ACDS101,,XLE,否,1.58,12.88,2.13,36.17,86.88,-60.00,42.41,44.47,0.630,-21.24,,1.695,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,能源,德銀遠東DWS全球原物料能源基金,ACFE06-8704,,XLE,否,0.11,6.61,6.43,2.74,35.87,28.84,15.86,20.01,0.540,-11.56,38.0,0.636,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
4,能源,安聯全球綠能趨勢基金-A累積型(台幣),ACDD15-8608,,XLE,否,-0.62,-1.13,-2.41,3.62,29.07,-5.23,9.31,19.76,0.410,-10.11,9.0,0.556,買進,沿用上次資料（2026-08-24）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
1,磷化銦,路博邁台灣5G股票基金N月配型（磷化銦供應鏈）,ACNB46,,SOXX,是,1.50,19.46,-8.70,46.14,151.70,-136.45,61.14,90.56,0.580,-36.07,,2.820,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,磷化銦,富邦台灣心基金（磷化銦供應鏈）,ACCT01,,SOXX,否,3.43,28.00,-6.55,46.78,110.76,-142.33,53.82,56.94,0.510,-34.58,,2.074,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,磷化銦,群益店頭市場基金（磷化銦供應鏈）,AC0028,,SOXX,否,2.39,26.89,-7.60,37.39,93.78,-119.47,45.16,48.62,0.430,-34.81,,1.710,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
1,光通訊,野村鴻運基金,AC0001,,IYZ,,3.69,35.95,10.45,73.85,210.06,-159.68,95.15,114.91,0.720,-27.67,11.0,3.994,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
2,光通訊,安聯台灣科技基金,ACDD04-8602,,IYZ,否,1.75,21.30,-2.83,60.17,205.24,-152.56,81.43,123.81,0.790,-32.10,,3.890,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,光通訊,街口中小型基金,ACCH03-9002,,IYZ,否,2.96,27.71,-2.47,51.57,189.72,-130.14,74.66,115.06,0.680,-35.29,,3.523,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
4,光通訊,元大二○○一基金,AC0017-6206,,IYZ,否,1.40,17.32,-6.27,43.02,164.97,-130.88,67.03,97.94,0.720,-28.79,,3.059,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
5,光通訊,統一奔騰基金,ACPS10,,IYZ,否,2.53,20.37,-1.56,58.49,146.26,-153.31,63.96,82.30,0.620,-27.84,,2.855,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
6,光通訊,第一金電子基金,ACNC16-7905,,IYZ,否,2.39,18.06,-5.70,48.06,144.28,-138.58,60.49,83.79,0.640,-28.32,,2.748,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
7,光通訊,合庫台灣基金-A不配息(台幣),ACCB01-9610,,IYZ,,1.24,20.77,-3.32,47.22,134.82,-129.84,57.81,77.01,0.640,-27.84,,2.579,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
8,光通訊,富邦台灣心基金,ACCT01-5905,,IYZ,否,3.43,28.00,-6.55,46.78,110.76,-142.33,53.82,56.94,0.510,-34.58,,2.074,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
9,光通訊,群益店頭市場基金,AC0028,,IYZ,否,2.39,26.89,-7.60,37.39,93.78,-119.47,45.16,48.62,0.430,-34.81,,1.710,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
10,光通訊,統一中小基金,ACPS06-5806,,IYZ,否,0.40,21.91,0.29,84.08,209.83,,93.61,116.22,0.760,-27.97,,,買進,已由243筆淨值歷史補算；持股頁暫無資料,合庫 MoneyDJ 公開網頁（爬蟲）,2026-09-01
